tool_name,route,category,registry_status,indexable,sitemap_included,navigation_discoverable,category_discoverable,search_discoverable,functional_status,verification_status,tested_inputs,expected_output,actual_output,output_verified,desktop_status,mobile_status,accessibility_status,privacy_model,external_dependencies,known_limitations,gsc_impressions,gsc_clicks,gsc_position,demand_status,correctness_score,demand_score,differentiation_score,strategic_fit_score,maintainability_score,total_score,recommendation,highest_defect_severity,defect_summary,evidence,recommended_seo_action,recommended_product_action,original_defect,resolution_status,remediation_files,remediation_tests,remediation_evidence,post_remediation_recommendation,remaining_risks
Lorem Ipsum Generator,/text/lorem-generator,text,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"Source-inspected edge bounds are 1–100 and the generator creates the selected number of paragraphs, sentences, or whitespace words. Expected/actual browser output counts and clipboard output were not independently asserted (output_verified=false), so this remains PARTIAL. Evidence: components/tools/LoremGenerator.tsx.",Behavior promised by the UI/copy or deterministic contract for the tested input; the evidence ledger states exact expected values where independently asserted,"UNVERIFIED exact output; source/shape evidence only: Source-inspected edge bounds are 1–100 and the generator creates the selected number of paragraphs, sentences, or whitespace words. Expected/actual browser output counts and clipboard output were not independently asserted (output_verified=false), so this remains PARTIAL. Evidence: components/tools/LoremGenerator.tsx.",FALSE,PASS,UNVERIFIED,PARTIAL,Browser-local; no runtime upload observed,No runtime external service observed,Source logic honors count/type bounds; full browser count/copy matrix was not executed.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,26,UNKNOWN,3,11,9,UNKNOWN,KEEP,,No confirmed defect in the tested scope; see known limitations and unverified gaps,reports/audits/tool-integrity/text-dev-time-type-play.md; tests/e2e/tool-audit/text-play-integrity.spec.ts; tests/e2e/tool-audit/time-type-smoke.spec.ts; Source logic honors count/type bounds; full browser count/copy matrix was not executed.,Retain current URL/indexation; validate demand with GSC before promotion or content expansion,"Retain the tool, address the documented limitations, and add missing mobile/accessibility/output evidence before promotion: Source logic honors count/type bounds; full browser count/copy matrix was not executed.",No confirmed defect in the tested scope; see known limitations and unverified gaps,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,Source logic honors count/type bounds; full browser count/copy matrix was not executed.
Remove Line Breaks,/text/remove-line-breaks,text,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"Source-inspected input a\n\nb produces a b for Remove Line Breaks/Clean All; the control itself says it joins all lines. This conflicts with SEO copy saying intentional paragraph structure can be retained by that operation. Calculation is deterministic but not browser- asserted here (output_verified=false). Paste/copy permission behavior and CR-only newlines remain unverified. Evidence: components/tools/RemoveLineBreaks.tsx, lib/tools.ts.",Behavior promised by the UI/copy or deterministic contract for the tested input; the evidence ledger states exact expected values where independently asserted,"UNVERIFIED exact output; source/shape evidence only: Source-inspected input a\n\nb produces a b for Remove Line Breaks/Clean All; the control itself says it joins all lines. This conflicts with SEO copy saying intentional paragraph structure can be retained by that operation. Calculation is deterministic but not browser- asserted here (output_verified=false). Paste/copy permission behavior and CR-only newlines remain unverified. Evidence: components/tools/RemoveLineBreaks.tsx, lib/tools.ts.",FALSE,PASS,UNVERIFIED,PARTIAL,Browser-local; no runtime upload observed,No runtime external service observed,"Operations are deterministic, but public copy says paragraph breaks can be retained while lineBreaks joins every newline.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,23,UNKNOWN,4,13,9,UNKNOWN,FIX,P2,"Operations are deterministic, but public copy says paragraph breaks can be retained while lineBreaks joins every newline.","reports/audits/tool-integrity/text-dev-time-type-play.md; tests/e2e/tool-audit/text-play-integrity.spec.ts; tests/e2e/tool-audit/time-type-smoke.spec.ts; Operations are deterministic, but public copy says paragraph breaks can be retained while lineBreaks joins every newline.",Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Repair or narrow the user-visible promise before promotion, then add an independent regression for this documented limitation: Operations are deterministic, but public copy says paragraph breaks can be retained while lineBreaks joins every newline.","Operations are deterministic, but public copy says paragraph breaks can be retained while lineBreaks joins every newline.",NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,FIX,"Operations are deterministic, but public copy says paragraph breaks can be retained while lineBreaks joins every newline."
Text to Slug,/text/text-to-slug,text,live,YES,YES,NO,YES,YES,CORE_DEFECT_OR_HARD_GATE,FAIL,"Input: 日本語 😀. Expected under “convert any text”: a useful URL-safe representation or a disclosed unsupported-language error; actual: empty placeholder and disabled Copy (output_verified=true). Latin accents are normalized in source; non-Latin transliteration is absent. Evidence: components/tools/TextToSlug.tsx, integrity spec lines 48–54.",Behavior promised by the UI/copy or deterministic contract for the tested input; the evidence ledger states exact expected values where independently asserted,"Observed and independently asserted: Input: 日本語 😀. Expected under “convert any text”: a useful URL-safe representation or a disclosed unsupported-language error; actual: empty placeholder and disabled Copy (output_verified=true). Latin accents are normalized in source; non-Latin transliteration is absent. Evidence: components/tools/TextToSlug.tsx, integrity spec lines 48–54.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local; no runtime upload observed,No runtime external service observed,“Any text” can become an empty slug for non-Latin input.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,17,UNKNOWN,4,12,9,UNKNOWN,FIX,P2,“Any text” can become an empty slug for non-Latin input.,reports/audits/tool-integrity/text-dev-time-type-play.md; tests/e2e/tool-audit/text-play-integrity.spec.ts; tests/e2e/tool-audit/time-type-smoke.spec.ts; “Any text” can become an empty slug for non-Latin input.,Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Repair or narrow the user-visible promise before promotion, then add an independent regression for this documented limitation: “Any text” can become an empty slug for non-Latin input.",“Any text” can become an empty slug for non-Latin input.,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,FIX,“Any text” can become an empty slug for non-Latin input.
Character Counter,/text/character-counter,text,live,YES,YES,NO,YES,YES,CORE_DEFECT_OR_HARD_GATE,FAIL,"Input: A👩‍💻é\n世. Expected grapheme count: 5; actual displayed characters: 9 UTF-16 code units (output_verified=true, independently counted with Intl.Segmenter). Platform limits therefore mislead for emoji-rich content. Evidence: components/tools/CharacterCounter.tsx, integrity spec lines 24–35.",Behavior promised by the UI/copy or deterministic contract for the tested input; the evidence ledger states exact expected values where independently asserted,"Observed and independently asserted: Input: A👩‍💻é\n世. Expected grapheme count: 5; actual displayed characters: 9 UTF-16 code units (output_verified=true, independently counted with Intl.Segmenter). Platform limits therefore mislead for emoji-rich content. Evidence: components/tools/CharacterCounter.tsx, integrity spec lines 24–35.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local; no runtime upload observed,No runtime external service observed,"Emoji/ZWJ characters are counted as UTF-16 code units, not user-perceived characters.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,20,UNKNOWN,3,13,9,UNKNOWN,FIX,P2,"Emoji/ZWJ characters are counted as UTF-16 code units, not user-perceived characters.","reports/audits/tool-integrity/text-dev-time-type-play.md; tests/e2e/tool-audit/text-play-integrity.spec.ts; tests/e2e/tool-audit/time-type-smoke.spec.ts; Emoji/ZWJ characters are counted as UTF-16 code units, not user-perceived characters.",Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Repair or narrow the user-visible promise before promotion, then add an independent regression for this documented limitation: Emoji/ZWJ characters are counted as UTF-16 code units, not user-perceived characters.","Emoji/ZWJ characters are counted as UTF-16 code units, not user-perceived characters.",NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,FIX,"Emoji/ZWJ characters are counted as UTF-16 code units, not user-perceived characters."
JSON Formatter,/dev/json-formatter,dev,live,YES,YES,YES,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"Input first {""emoji"":""😀"",""lines"":[1,2]}, then {. Expected: valid formatted object, then invalid state without a usable prior result. Actual: parse-correct formatted JSON followed by Invalid JSON while the old formatted output remains (output_verified=true). Evidence: components/tools/JsonFormatter.tsx, integrity spec lines 77–89.",Behavior promised by the UI/copy or deterministic contract for the tested input; the evidence ledger states exact expected values where independently asserted,"Observed and independently asserted: Input first {""emoji"":""😀"",""lines"":[1,2]}, then {. Expected: valid formatted object, then invalid state without a usable prior result. Actual: parse-correct formatted JSON followed by Invalid JSON while the old formatted output remains (output_verified=true). Evidence: components/tools/JsonFormatter.tsx, integrity spec lines 77–89.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local; no runtime upload observed,No runtime external service observed,"Valid Unicode JSON formats correctly, but invalid input leaves a stale valid output visible.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,22,UNKNOWN,5,13,8,UNKNOWN,FIX,P2,"Valid Unicode JSON formats correctly, but invalid input leaves a stale valid output visible.","reports/audits/tool-integrity/text-dev-time-type-play.md; tests/e2e/tool-audit/text-play-integrity.spec.ts; tests/e2e/tool-audit/time-type-smoke.spec.ts; Valid Unicode JSON formats correctly, but invalid input leaves a stale valid output visible.",Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Repair or narrow the user-visible promise before promotion, then add an independent regression for this documented limitation: Valid Unicode JSON formats correctly, but invalid input leaves a stale valid output visible.","Valid Unicode JSON formats correctly, but invalid input leaves a stale valid output visible.",NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,FIX,"Valid Unicode JSON formats correctly, but invalid input leaves a stale valid output visible."
Find & Replace,/text/find-and-replace,text,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"Literal escaping, case sensitivity, regex compile errors, match count, clear, and copy paths were source-inspected. Expected Unicode whole-word matching for values such as café; actual construction uses ASCII \\b...\\b, which can miss boundaries where the final character is non-ASCII (output_verified=false; no browser assertion). Evidence: components/tools/FindAndReplace.tsx.",Behavior promised by the UI/copy or deterministic contract for the tested input; the evidence ledger states exact expected values where independently asserted,"UNVERIFIED exact output; source/shape evidence only: Literal escaping, case sensitivity, regex compile errors, match count, clear, and copy paths were source-inspected. Expected Unicode whole-word matching for values such as café; actual construction uses ASCII \\b...\\b, which can miss boundaries where the final character is non-ASCII (output_verified=false; no browser assertion). Evidence: components/tools/FindAndReplace.tsx.",FALSE,PASS,UNVERIFIED,PARTIAL,Browser-local; no runtime upload observed,No runtime external service observed,"Literal/regex paths are coherent and regex errors surface, but \b whole-word behavior is ASCII-centric for Unicode text.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,22,UNKNOWN,5,13,8,UNKNOWN,FIX,P2,"Literal/regex paths are coherent and regex errors surface, but \b whole-word behavior is ASCII-centric for Unicode text.","reports/audits/tool-integrity/text-dev-time-type-play.md; tests/e2e/tool-audit/text-play-integrity.spec.ts; tests/e2e/tool-audit/time-type-smoke.spec.ts; Literal/regex paths are coherent and regex errors surface, but \b whole-word behavior is ASCII-centric for Unicode text.",Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Repair or narrow the user-visible promise before promotion, then add an independent regression for this documented limitation: Literal/regex paths are coherent and regex errors surface, but \b whole-word behavior is ASCII-centric for Unicode text.","Literal/regex paths are coherent and regex errors surface, but \b whole-word behavior is ASCII-centric for Unicode text.",NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,FIX,"Literal/regex paths are coherent and regex errors surface, but \b whole-word behavior is ASCII-centric for Unicode text."
Sort Lines,/text/sort-lines,text,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"Source cases cover case-insensitive locale A–Z/Z–A, UTF-16 length sorting, exact-string dedupe, blank-line removal, and Fisher–Yates shuffle. No independently asserted browser output, mobile/copy result, or locale matrix (output_verified=false). Evidence: components/tools/SortLines.tsx.",Behavior promised by the UI/copy or deterministic contract for the tested input; the evidence ledger states exact expected values where independently asserted,"UNVERIFIED exact output; source/shape evidence only: Source cases cover case-insensitive locale A–Z/Z–A, UTF-16 length sorting, exact-string dedupe, blank-line removal, and Fisher–Yates shuffle. No independently asserted browser output, mobile/copy result, or locale matrix (output_verified=false). Evidence: components/tools/SortLines.tsx.",FALSE,PASS,UNVERIFIED,PARTIAL,Browser-local; no runtime upload observed,No runtime external service observed,"A–Z/Z–A, length, dedupe, and shuffle logic are present; direct edge/copy assertions remain.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,25,UNKNOWN,4,11,9,UNKNOWN,KEEP,,No confirmed defect in the tested scope; see known limitations and unverified gaps,"reports/audits/tool-integrity/text-dev-time-type-play.md; tests/e2e/tool-audit/text-play-integrity.spec.ts; tests/e2e/tool-audit/time-type-smoke.spec.ts; A–Z/Z–A, length, dedupe, and shuffle logic are present; direct edge/copy assertions remain.",Retain current URL/indexation; validate demand with GSC before promotion or content expansion,"Retain the tool, address the documented limitations, and add missing mobile/accessibility/output evidence before promotion: A–Z/Z–A, length, dedupe, and shuffle logic are present; direct edge/copy assertions remain.",No confirmed defect in the tested scope; see known limitations and unverified gaps,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,"A–Z/Z–A, length, dedupe, and shuffle logic are present; direct edge/copy assertions remain."
Base64 Encode / Decode,/dev/base64,dev,live,YES,YES,YES,YES,YES,WORKING_IN_TESTED_SCOPE,PASS,"Input café 😀\n第二行; expected independent UTF-8 Base64 and exact inverse. Both matched (output_verified=true). Binary file/Base64url are not promised and were not tested; clipboard remains a gap. Evidence: components/tools/Base64Tool.tsx, integrity spec lines 56–75.",Behavior promised by the UI/copy or deterministic contract for the tested input; the evidence ledger states exact expected values where independently asserted,"Observed and independently asserted: Input café 😀\n第二行; expected independent UTF-8 Base64 and exact inverse. Both matched (output_verified=true). Binary file/Base64url are not promised and were not tested; clipboard remains a gap. Evidence: components/tools/Base64Tool.tsx, integrity spec lines 56–75.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local; no runtime upload observed,No runtime external service observed,"Independent UTF-8 Base64 round-trip passed for accents, emoji, and multiline CJK.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,29,UNKNOWN,4,13,9,UNKNOWN,KEEP,,No confirmed defect in the tested scope; see known limitations and unverified gaps,"reports/audits/tool-integrity/text-dev-time-type-play.md; tests/e2e/tool-audit/text-play-integrity.spec.ts; tests/e2e/tool-audit/time-type-smoke.spec.ts; Independent UTF-8 Base64 round-trip passed for accents, emoji, and multiline CJK.",Retain current URL/indexation; validate demand with GSC before promotion or content expansion,"Retain the tool, address the documented limitations, and add missing mobile/accessibility/output evidence before promotion: Independent UTF-8 Base64 round-trip passed for accents, emoji, and multiline CJK.",No confirmed defect in the tested scope; see known limitations and unverified gaps,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,"Independent UTF-8 Base64 round-trip passed for accents, emoji, and multiline CJK."
Password Generator,/generate/password,generate,live,YES,YES,YES,YES,YES,CORE_DEFECT_OR_HARD_GATE,FAIL,"Length 128 with all four categories and exclusion enabled produced 128 characters, at least one from each category, and none of 0O1lI (output_verified=true). Security claims still fail source validation: uint32 % max introduces modulo bias; forced-category generation plus shuffle is not the displayed length × log2(pool) distribution; pool size subtracts eight although only five ambiguous characters are listed (and not all five exist in every enabled pool). Crack-time output inherits the incorrect entropy. Evidence: components/tools/PasswordGenerator.tsx, integrity spec lines 109–127.",Generated passwords satisfy selected constraints and any displayed entropy/crack-time estimate reflects the actual unbiased constrained distribution,"Character constraints passed, but modulo selection and incorrect pool/forced-category math make entropy and crack-time unreliable",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local; no runtime upload observed,No runtime external service observed,"Generated constraints pass, but biased selection and incorrect entropy/pool math make the security-strength output unreliable.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,14,UNKNOWN,5,14,7,UNKNOWN,FIX,P1,"Generated constraints pass, but biased selection and incorrect entropy/pool math make the security-strength output unreliable.","reports/audits/tool-integrity/text-dev-time-type-play.md; tests/e2e/tool-audit/text-play-integrity.spec.ts; tests/e2e/tool-audit/time-type-smoke.spec.ts; Generated constraints pass, but biased selection and incorrect entropy/pool math make the security-strength output unreliable.",Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,Remove modulo bias with rejection sampling and calculate entropy from the actual constrained generation distribution/pool; correct ambiguous-character accounting and do not show crack-time claims until validated,"Generated constraints pass, but biased selection and incorrect entropy/pool math make the security-strength output unreliable.",FIXED,components/tools/PasswordGenerator.tsx; lib/p1-remediation/secure-random.ts,tests/p1-generator-randomness.test.mjs; tests/e2e/tool-audit/text-play-integrity.spec.ts,Web Crypto Uint32 values use rejection sampling; whole password candidates are uniformly conditioned on every selected class appearing; exact valid-set bits use inclusion-exclusion; deterministic suite 7/7 passed.,"KEEP; describe exact search-space bits, not crack time or universal security strength.","Requires Web Crypto in a supported secure browser context; entropy does not address reuse, phishing, leakage, or service-side attack controls."
Random Number Generator,/generate/random-number,generate,live,YES,YES,NO,YES,YES,CORE_DEFECT_OR_HARD_GATE,FAIL,"Input min 0, max 5,000,000,000, count 1 with deterministic maximum Uint32. Expected: every value in the advertised range should be reachable; actual maximum source value maps to 4,294,967,295, so the upper 705,032,705 values are unreachable (output_verified=true). Smaller non-power-of-two ranges are also modulo-biased. Evidence: components/tools/RandomNumberGenerator.tsx, integrity spec lines 129–150.","Every integer in 0…5,000,000,000 is reachable with uniform probability","A single Uint32 modulo source can never produce values above 4,294,967,295 and is biased for non-power-of-two ranges",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local; no runtime upload observed,No runtime external service observed,Modulo reduction is biased and ranges wider than 2^32 contain unreachable advertised values.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,10,UNKNOWN,3,12,8,UNKNOWN,FIX,P1,Modulo reduction is biased and ranges wider than 2^32 contain unreachable advertised values.,reports/audits/tool-integrity/text-dev-time-type-play.md; tests/e2e/tool-audit/text-play-integrity.spec.ts; tests/e2e/tool-audit/time-type-smoke.spec.ts; Modulo reduction is biased and ranges wider than 2^32 contain unreachable advertised values.,Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Use unbiased rejection sampling with enough random words for the requested range, reject unsupported ranges, and add reachability/distribution tests before claiming uniform fairness",Modulo reduction is biased and ranges wider than 2^32 contain unreachable advertised values.,FIXED,components/tools/RandomNumberGenerator.tsx; lib/p1-remediation/secure-random.ts,tests/p1-generator-randomness.test.mjs; tests/e2e/tool-audit/text-play-integrity.spec.ts,"Inclusive endpoints use unbiased Uint32 rejection sampling; equal, negative, reversed, decimal, unsafe, over-wide, and unique-capacity cases are deterministic; width is capped at 2^32.",KEEP with explicit inclusive safe-integer bounds and the 2^32 range-width cap.,Requires Web Crypto in a supported secure browser context; range width is intentionally bounded.
Color Picker,/dev/color-picker,dev,live,YES,YES,YES,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"Conversion formulas and synchronized HEX/RGB/HSL controls were source-inspected. Invalid HEX can remain in the input while preview state silently stays at the last valid color, with no error (output_verified=false). Contrast interpretation, alpha, wide-gamut colors, eyedropper support, copy, and mobile controls remain unverified. Evidence: components/tools/ColorPicker.tsx.",Behavior promised by the UI/copy or deterministic contract for the tested input; the evidence ledger states exact expected values where independently asserted,"UNVERIFIED exact output; source/shape evidence only: Conversion formulas and synchronized HEX/RGB/HSL controls were source-inspected. Invalid HEX can remain in the input while preview state silently stays at the last valid color, with no error (output_verified=false). Contrast interpretation, alpha, wide-gamut colors, eyedropper support, copy, and mobile controls remain unverified. Evidence: components/tools/ColorPicker.tsx.",FALSE,PASS,UNVERIFIED,PARTIAL,Browser-local; no runtime upload observed,No runtime external service observed,Conversion source paths are coherent; invalid HEX remains displayed while the swatch silently retains the prior valid color.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,24,UNKNOWN,4,12,9,UNKNOWN,FIX,P3,Conversion source paths are coherent; invalid HEX remains displayed while the swatch silently retains the prior valid color.,reports/audits/tool-integrity/text-dev-time-type-play.md; tests/e2e/tool-audit/text-play-integrity.spec.ts; tests/e2e/tool-audit/time-type-smoke.spec.ts; Conversion source paths are coherent; invalid HEX remains displayed while the swatch silently retains the prior valid color.,Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Repair or narrow the user-visible promise before promotion, then add an independent regression for this documented limitation: Conversion source paths are coherent; invalid HEX remains displayed while the swatch silently retains the prior valid color.",Conversion source paths are coherent; invalid HEX remains displayed while the swatch silently retains the prior valid color.,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,FIX,Conversion source paths are coherent; invalid HEX remains displayed while the swatch silently retains the prior valid color.
Percentage Calculator,/calc/percentage,calc,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,15% of 200; 30 is ?% of 200; zero denominator; negative baseline; decimal,Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: 30 → 30; 15% → 15%; division by zero is handled. Change from -100 to -50 is labeled as a decrease although sign-sensitive semantics are ambiguous. Copy is present.,Observed browser/source result and audit comparison: 30 → 30; 15% → 15%; division by zero is handled. Change from -100 to -50 is labeled as a decrease although sign-sensitive semantics are ambiguous. Copy is present.,TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,30 → 30; 15% → 15%; division by zero is handled. Change from -100 to -50 is labeled as a decrease although sign-sensitive semantics are ambiguous. Copy is present.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,28,UNKNOWN,15,15,9,UNKNOWN,KEEP,P3,30 → 30; 15% → 15%; division by zero is handled. Change from -100 to -50 is labeled as a decrease although sign-sensitive semantics are ambiguous. Copy is present.,reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; 30 → 30; 15% → 15%; division by zero is handled. Change from -100 to -50 is labeled as a decrease although sign-sensitive semantics are ambiguous. Copy is present.,Retain current URL/indexation; validate demand with GSC before promotion or content expansion,"Retain the tool, address the documented limitations, and add missing mobile/accessibility/output evidence before promotion: 30 → 30; 15% → 15%; division by zero is handled. Change from -100 to -50 is labeled as a decrease although sign-sensitive semantics are ambiguous. Copy is present.",30 → 30; 15% → 15%; division by zero is handled. Change from -100 to -50 is labeled as a decrease although sign-sensitive semantics are ambiguous. Copy is present.,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,30 → 30; 15% → 15%; division by zero is handled. Change from -100 to -50 is labeled as a decrease although sign-sensitive semantics are ambiguous. Copy is present.
Odds Calculator,/calc/odds-calculator,calc,live,YES,YES,YES,YES,YES,WORKING_IN_TESTED_SCOPE,PASS,"American +150, -110; decimal 1; two-leg +100/+100; $100 stake","Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: +150 → 2.50, 40%, $150 profit; -110 → 1.9091, 52.38%; parlay 4.00; decimal ≤1 rejected.","Observed browser/source result and audit comparison: +150 → 2.50, 40%, $150 profit; -110 → 1.9091, 52.38%; parlay 4.00; decimal ≤1 rejected.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,"+150 → 2.50, 40%, $150 profit; -110 → 1.9091, 52.38%; parlay 4.00; decimal ≤1 rejected.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,30,UNKNOWN,9,5,8,UNKNOWN,HIDE,,No confirmed defect in the tested scope; see known limitations and unverified gaps,"reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; +150 → 2.50, 40%, $150 profit; -110 → 1.9091, 52.38%; parlay 4.00; decimal ≤1 rejected.","Keep the route out of promotion; any noindex, sitemap, navigation, or redirect change requires a separately approved SEO release after a responsible-gambling policy, jurisdiction/age scope, and demonstrated demand is verified.","Hide from public discovery and promotion pending a responsible-gambling policy, jurisdiction/age scope, and demonstrated demand; retain only a bounded review/status path and do not present the current behavior as a user-safe result.",No confirmed defect in the tested scope; see known limitations and unverified gaps,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,"+150 → 2.50, 40%, $150 profit; -110 → 1.9091, 52.38%; parlay 4.00; decimal ≤1 rejected."
Poker Calculator,/calc/poker,calc,live,YES,YES,NO,YES,YES,CORE_DEFECT_OR_HARD_GATE,FAIL,Pot odds; 9 outs; starting hands 72o/72s/A2o/AKs; empty amounts,Published heads-up starting-hand equities stay within the declared tolerance of an independent simulation/dataset,"Heuristic outputs included 72o 58%, 72s 61%, A2o 65%, and AKs 80%, differing materially from independent simulation",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,Pot-odds and outs formulas match independent math; starting-hand table differs by 10-24 points from simulation.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,10,5,3,UNKNOWN,HIDE,P1,Pot-odds and outs formulas match independent math; starting-hand table differs by 10-24 points from simulation.,reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; Pot-odds and outs formulas match independent math; starting-hand table differs by 10-24 points from simulation.,"Keep the route out of promotion; any noindex, sitemap, navigation, or redirect change requires a separately approved SEO release after a reproducible unbiased simulation and responsible-gambling policy is verified.",Hide from public discovery and promotion pending a reproducible unbiased simulation and responsible-gambling policy; retain only a bounded review/status path and do not present the current behavior as a user-safe result.,Pot-odds and outs formulas match independent math; starting-hand table differs by 10-24 points from simulation.,CONTAINED,app/calc/poker/page.tsx; components/tools/PokerCalculator.tsx; lib/tools.ts; lib/search-index.ts; lib/site-structure.ts,tests/p1-high-risk-calculators.test.mjs; tests/e2e/p1-containment.spec.ts; tests/tool-integrity-discovery.test.mjs,Starting-hand heuristic and accuracy language were removed; direct route is a noindexed status notice with no calculator; all discovery projections exclude it.,HIDE until an enumerated or reproducible unbiased simulation passes reference scenarios and discloses sampling behavior.,A correct context-aware equity engine remains future work; hand ranking/reference code alone is not enough to relaunch the route.
